contig_name,start_18S,end_18S,start_28S,end_28S,ITS_start,ITS_end,strand,score,genome_name,ITS_length
NW_002990118.1,4419,6218,6397,10236,6219,6396,+,1498.6,GCF_000003125.1,177
NW_003052498.1,3861666,3863455,3863673,3867137,3863456,3863672,+,1338.9,GCF_000003515.1,216
NW_003052498.1,3869319,3872039,3872257,3875721,3872040,3872256,+,1508.3,GCF_000003515.1,216
NW_003052498.1,3882042,3883839,3884057,3887521,3883840,3884056,+,1506.8,GCF_000003515.1,216
NW_003052498.1,3889704,3891501,3891719,3895183,3891502,3891718,+,1506.9,GCF_000003515.1,216
NW_003052498.1,3897365,3899162,3899380,3902844,3899163,3899379,+,1506.9,GCF_000003515.1,216
NW_003052498.1,3905026,3906823,3907041,3910505,3906824,3907040,+,1506.9,GCF_000003515.1,216
NW_003052498.1,3912687,3914484,3914702,3918180,3914485,3914701,+,1506.9,GCF_000003515.1,216
NW_025544790.1,2879,4670,4878,8964,4671,4877,+,1396.4,GCF_000003525.1,206
NW_025544790.1,11360,13157,13366,17453,13158,13365,+,1505.3,GCF_000003525.1,207
NW_025544790.1,19849,21647,21856,25943,21648,21855,+,1505.2,GCF_000003525.1,207
NW_025544790.1,28339,30137,30346,34410,30138,30345,+,1505.2,GCF_000003525.1,207
NW_025544790.1,36824,38620,38829,42913,38621,38828,+,1503.3,GCF_000003525.1,207
NW_025544790.1,69457,71249,71458,75544,71250,71457,+,1465.5,GCF_000003525.1,207
NW_003101676.1,2128275,2130073,2130282,2134358,2130074,2130281,+,1505.2,GCF_000003855.2,207
NW_003101676.1,2136751,2138546,2138755,2142835,2138547,2138754,+,1494.0,GCF_000003855.2,207
NW_003101676.1,2145229,2147025,2147234,2151315,2147026,2147233,+,1505.3,GCF_000003855.2,207
NW_003101676.1,2153709,2155507,2155716,2159796,2155508,2155715,+,1505.2,GCF_000003855.2,207
NW_003101676.1,2162189,2163984,2164192,2168270,2163985,2164191,+,1499.1,GCF_000003855.2,206
NW_003020045.1,4254,6037,6178,9623,6038,6177,+,1522.3,GCF_000006335.3,139
NW_003020039.1,407072,408855,408996,412434,408856,408995,+,1522.3,GCF_000006335.3,139
NW_003020039.1,417808,419591,419732,423170,419592,419731,+,1522.5,GCF_000006335.3,139
NC_012867.1,1863369,1865154,1865295,1869392,1865155,1865294,+,1524.7,GCF_000026945.1,139
NT_166001.1,1544,3353,3530,7109,3354,3529,+,1389.4,GCF_000143365.1,175
NT_166001.1,9419,11240,11417,14962,11241,11416,+,1300.9,GCF_000143365.1,175
NW_001884604.1,11828,13625,13813,17350,13626,13812,+,957.4,GCF_000146915.1,186
NW_001884553.1,1313209,1315005,1315193,1318883,1315006,1315192,+,801.3,GCF_000146915.1,186
NW_001884553.1,1321974,1323770,1323958,1327492,1323771,1323957,+,1486.3,GCF_000146915.1,186
NW_001884553.1,1330653,1332449,1332637,1336171,1332450,1332636,+,1491.2,GCF_000146915.1,186
