contig_name,start_18S,end_18S,start_28S,end_28S,ITS_start,ITS_end,strand,score,genome_name,ITS_length
EQ962657.1,4419,6218,6397,10236,6219,6396,+,1498.6,GCA_000003125.1,177
CH476617.1,3861666,3863455,3863673,3867137,3863456,3863672,+,1338.9,GCA_000003515.2,216
CH476617.1,3869319,3872039,3872257,3875721,3872040,3872256,+,1508.3,GCA_000003515.2,216
CH476617.1,3882042,3883839,3884057,3887521,3883840,3884056,+,1506.8,GCA_000003515.2,216
CH476617.1,3889704,3891501,3891719,3895183,3891502,3891718,+,1506.9,GCA_000003515.2,216
CH476617.1,3897365,3899162,3899380,3902844,3899163,3899379,+,1506.9,GCA_000003515.2,216
CH476617.1,3905026,3906823,3907041,3910505,3906824,3907040,+,1506.9,GCA_000003515.2,216
CH476617.1,3912687,3914484,3914702,3918180,3914485,3914701,+,1506.9,GCA_000003515.2,216
EQ999989.1,2879,4670,4878,8964,4671,4877,+,1396.4,GCA_000003525.2,206
EQ999989.1,11360,13157,13366,17453,13158,13365,+,1505.3,GCA_000003525.2,207
EQ999989.1,19849,21647,21856,25943,21648,21855,+,1505.2,GCA_000003525.2,207
EQ999989.1,28339,30137,30346,34410,30138,30345,+,1505.2,GCA_000003525.2,207
EQ999989.1,36824,38620,38829,42913,38621,38828,+,1503.3,GCA_000003525.2,207
EQ999989.1,69457,71249,71458,75544,71250,71457,+,1465.5,GCA_000003525.2,207
GG657454.1,2128275,2130073,2130282,2134358,2130074,2130281,+,1505.2,GCA_000003855.2,207
GG657454.1,2136751,2138546,2138755,2142835,2138547,2138754,+,1494.0,GCA_000003855.2,207
GG657454.1,2145229,2147025,2147234,2151315,2147026,2147233,+,1505.3,GCA_000003855.2,207
GG657454.1,2153709,2155507,2155716,2159796,2155508,2155715,+,1505.2,GCA_000003855.2,207
GG657454.1,2162189,2163984,2164192,2168270,2163985,2164191,+,1499.1,GCA_000003855.2,206
GG692410.1,4254,6037,6178,9623,6038,6177,+,1522.3,GCA_000006335.3,139
GG692404.1,407072,408855,408996,412434,408856,408995,+,1522.3,GCA_000006335.3,139
GG692404.1,417808,419591,419732,423170,419592,419731,+,1522.5,GCA_000006335.3,139
