File	Gene	Count
GCA_012274445.1.gff	18s_rRNA	532
GCA_905071765.1.gff	18s_rRNA	361
GCA_030280995.1.gff	18s_rRNA	305
GCA_031753515.1.gff	18s_rRNA	261
GCA_024613165.1.gff	18s_rRNA	258
GCA_951394405.1.gff	18s_rRNA	198
GCA_025258505.1.gff	18s_rRNA	180
GCA_030407055.1.gff	18s_rRNA	144
GCA_015039365.1.gff	18s_rRNA	139
GCA_900007375.1.gff	18s_rRNA	139
GCA_944990035.1.gff	18s_rRNA	126
GCA_034401135.1.gff	18s_rRNA	125
GCA_000412615.1.gff	18s_rRNA	120
GCA_964034925.1.gff	18s_rRNA	116
GCA_021901695.1.gff	18s_rRNA	112
GCA_023105745.1.gff	18s_rRNA	106
GCA_024613185.1.gff	18s_rRNA	106
GCA_019787685.1.gff	18s_rRNA	104
GCA_039111635.1.gff	18s_rRNA	101
GCA_019364595.1.gff	18s_rRNA	100
GCA_035771495.1.gff	18s_rRNA	90
GCA_020631755.1.gff	18s_rRNA	87
GCA_030435655.1.gff	18s_rRNA	86
GCA_000230375.1.gff	18s_rRNA	82
GCA_015832175.1.gff	18s_rRNA	80
GCA_024613125.1.gff	18s_rRNA	80
GCA_013368325.1.gff	18s_rRNA	79
GCA_027605045.1.gff	18s_rRNA	76
GCA_024516245.1.gff	18s_rRNA	70
GCA_028011355.1.gff	18s_rRNA	69
GCA_008728235.1.gff	18s_rRNA	68
GCA_002006685.2.gff	18s_rRNA	64
GCA_030378345.1.gff	18s_rRNA	63
GCA_018398575.1.gff	18s_rRNA	62
GCA_025617555.3.gff	18s_rRNA	62
GCA_016628565.1.gff	18s_rRNA	58
GCA_018801565.1.gff	18s_rRNA	58
GCA_014839975.1.gff	18s_rRNA	57
GCA_028335825.1.gff	18s_rRNA	57
GCA_022264835.1.gff	18s_rRNA	55
GCA_028828245.1.gff	18s_rRNA	54
GCA_963692855.1.gff	18s_rRNA	53
GCA_000185945.1.gff	18s_rRNA	50
GCA_001936155.1.gff	18s_rRNA	50
GCA_016630905.1.gff	18s_rRNA	49
GCA_028827375.1.gff	18s_rRNA	48
GCA_009982855.1.gff	18s_rRNA	47
GCA_013305495.1.gff	18s_rRNA	46
GCA_022702355.1.gff	18s_rRNA	45
GCA_038381055.1.gff	18s_rRNA	45
GCA_022664585.2.gff	18s_rRNA	44
GCA_000146915.2.gff	18s_rRNA	43
GCA_018287875.1.gff	18s_rRNA	43
GCA_000182925.2.gff	18s_rRNA	42
GCA_003184545.1.gff	18s_rRNA	42
GCA_025782845.1.gff	18s_rRNA	42
GCA_001672515.1.gff	18s_rRNA	40
GCA_028829455.1.gff	18s_rRNA	40
GCA_000091025.4.gff	18s_rRNA	39
GCA_013461505.1.gff	18s_rRNA	39
GCA_024706585.1.gff	18s_rRNA	39
GCA_002778075.1.gff	18s_rRNA	38
GCA_003999685.1.gff	18s_rRNA	38
GCA_029289565.1.gff	18s_rRNA	38
GCA_026122735.1.gff	18s_rRNA	37
GCA_000204055.1.gff	18s_rRNA	36
GCA_002849105.1.gff	18s_rRNA	36
GCA_003850985.1.gff	18s_rRNA	36
GCA_009746055.1.gff	18s_rRNA	36
GCA_029378375.1.gff	18s_rRNA	36
GCA_010093485.1.gff	18s_rRNA	35
GCA_023853805.1.gff	18s_rRNA	35
GCA_029531795.1.gff	18s_rRNA	35
GCA_000950635.1.gff	18s_rRNA	34
GCA_023014455.1.gff	18s_rRNA	34
GCA_029204335.1.gff	18s_rRNA	34
GCA_037577435.1.gff	18s_rRNA	34
GCA_014706385.1.gff	18s_rRNA	33
GCA_016647785.1.gff	18s_rRNA	33
GCA_020226115.1.gff	18s_rRNA	33
GCA_963576785.1.gff	18s_rRNA	33
GCA_005406165.1.gff	18s_rRNA	32
GCA_014462675.1.gff	18s_rRNA	32
GCA_001548555.1.gff	18s_rRNA	31
GCA_004000055.1.gff	18s_rRNA	31
GCA_013368295.1.gff	18s_rRNA	31
GCA_015178975.1.gff	18s_rRNA	31
GCA_024663395.1.gff	18s_rRNA	31
GCA_029378245.1.gff	18s_rRNA	31
GCA_900519145.1.gff	18s_rRNA	31
GCA_010015615.1.gff	18s_rRNA	30
GCA_037577415.1.gff	18s_rRNA	30
GCA_022702545.1.gff	18s_rRNA	29
GCA_032821775.1.gff	18s_rRNA	29
GCA_035610515.1.gff	18s_rRNA	29
GCA_002778125.1.gff	18s_rRNA	28
GCA_017312325.1.gff	18s_rRNA	28
GCA_022598655.1.gff	18s_rRNA	28
GCA_024521655.1.gff	18s_rRNA	28
GCA_028828005.1.gff	18s_rRNA	28
GCA_037042985.1.gff	18s_rRNA	28
GCA_003971905.1.gff	18s_rRNA	27
GCA_008122225.1.gff	18s_rRNA	27
GCA_016647755.1.gff	18s_rRNA	27
GCA_028829585.1.gff	18s_rRNA	27
GCA_030556085.1.gff	18s_rRNA	27
GCA_033220655.1.gff	18s_rRNA	27
GCA_900465325.1.gff	18s_rRNA	27
GCA_003987895.1.gff	18s_rRNA	26
GCA_012980515.1.gff	18s_rRNA	26
GCA_013390185.1.gff	18s_rRNA	26
GCA_014461135.1.gff	18s_rRNA	26
GCA_022570795.1.gff	18s_rRNA	26
GCA_022984865.1.gff	18s_rRNA	26
GCA_025738555.1.gff	18s_rRNA	26
GCA_025765615.1.gff	18s_rRNA	26
GCA_902141235.2.gff	18s_rRNA	26
GCA_905067625.1.gff	18s_rRNA	26
GCA_013053245.1.gff	18s_rRNA	25
GCA_025716815.1.gff	18s_rRNA	25
GCA_026119515.1.gff	18s_rRNA	25
GCA_037044905.1.gff	18s_rRNA	25
GCA_001641265.1.gff	18s_rRNA	24
GCA_010015815.1.gff	18s_rRNA	24
GCA_012932865.1.gff	18s_rRNA	24
GCA_013368445.1.gff	18s_rRNA	24
GCA_019915105.1.gff	18s_rRNA	24
GCA_024713535.1.gff	18s_rRNA	24
GCA_026122715.1.gff	18s_rRNA	24
GCA_028455935.1.gff	18s_rRNA	24
GCA_033816765.1.gff	18s_rRNA	24
GCA_038501195.1.gff	18s_rRNA	24
GCA_001557505.1.gff	18s_rRNA	23
GCA_002778095.1.gff	18s_rRNA	23
GCA_002994785.1.gff	18s_rRNA	23
GCA_004303015.1.gff	18s_rRNA	23
GCA_016618095.1.gff	18s_rRNA	23
GCA_019609905.1.gff	18s_rRNA	23
GCA_027247665.1.gff	18s_rRNA	23
GCA_029405325.1.gff	18s_rRNA	23
GCA_954870865.1.gff	18s_rRNA	23
